model,base_best_prefill,abliterated_best_prefill,d1,d1_bca_lo,d1_bca_hi,d1_percentile_lo,d1_percentile_hi,d1_manski_lo,d1_manski_hi,abliterated_alone,headroom,g,g_manski_lo,g_manski_hi,d2,d2_bca_lo,d2_bca_hi,d2_percentile_lo,d2_percentile_hi,overlap_tests,overlap_discoveries,prefill_beats_abliteration,abliteration_beats_prefill
qwen3-4b,role_chaining,role_chaining,0.11070287539936102,0.08099041533546326,0.14552715654952075,0.07492012779552716,0.1400958466453674,0.09648562300319488,0.13466453674121406,0.8501597444089457,0.1498402555910543,0.04920127795527156,0.025239616613418527,0.08706070287539937,0.3283582089552239,0.19472686815749493,0.4336817387668759,0.21685038844244586,0.4526991880842244,313.0,59.0,9.0,50.0
phi-4,role_chaining,role_chaining,0.07236421725239617,0.03624093398009137,0.10974440894568689,0.0353035143769968,0.10894768370607041,0.06421725239616614,0.08913738019169329,0.8378594249201278,0.16214057507987223,0.06996805111821087,0.05319488817891375,0.09073482428115015,0.4315270935960591,0.34167588422070033,0.5135273553645017,0.3448999422890974,0.5168424009461856,313.0,61.0,17.0,44.0
