model,strategy,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k*(0.5),k*(0.9),k*(0.99)
phi-4,base/continuation_full,0.564856230031949,0.7351605851689927,0.8132952188778656,0.8569877051207232,0.8846528732562471,0.9037745180466671,0.9178567542705663,0.9287065153958001,0.9373318194580028,0.9443380188788155,1,6,
phi-4,base/continuation_partial,0.38977635782747605,0.5201782411299816,0.5894820918109971,0.6333798224182897,0.663963664329024,0.6867132711500609,0.7044945630850288,0.7189403075583948,0.7310373609417121,0.7414099466444198,2,,
phi-4,base/fake_citation,0.6527156549520767,0.8106272069951236,0.8770864861835098,0.9117551442975037,0.932018574202844,0.9448386400129247,0.9534564304955209,0.9595179236600022,0.963923309748936,0.9672012450304026,1,4,
phi-4,base/none,0.007507987220447284,0.011720195056330922,0.01481138949610448,0.017317019291321706,0.019424235979914075,0.021239906758062227,0.02283751570243029,0.02426826611437735,0.025567532053501252,0.026759756430673055,,,
phi-4,base/persona_switch,0.697923322683706,0.839784765427947,0.8944173532873718,0.9216649027191168,0.9376926741774565,0.948290701853299,0.9559346119480245,0.9618082909846428,0.9665289811129532,0.9704452784181565,1,4,
phi-4,base/role_chaining,0.7654952076677317,0.898890196737851,0.9456728882910151,0.9671200176724465,0.978557939907088,0.985259992680442,0.9894147897935028,0.9920732939862703,0.9938006500863207,0.9949274432033907,1,3,8
phi-4,base/static_baseline,0.4578274760383387,0.5811837901462922,0.6365310240457372,0.6695595406482755,0.6925497119984702,0.7099621822833725,0.7238235541400013,0.7352108785980536,0.7447628638189376,0.7528896068570051,2,,
phi-4,base/system_simulation,0.5741214057507987,0.7352614763746427,0.8081385572557593,0.8479081560318763,0.8719839793997302,0.8877667764600375,0.8988446555686339,0.907082496694659,0.9134997530980675,0.9186796546513261,1,8,
phi-4,abliterated/continuation_full,0.7605431309904153,0.8810324533378175,0.9236926181267867,0.943630171086427,0.9543912402694389,0.9607876932511695,0.9648870166866141,0.9676921656634612,0.9697261518983297,0.9712741585361493,1,3,
phi-4,abliterated/continuation_partial,0.8851437699680511,0.9571380527997311,0.9745754161762233,0.9813885399459936,0.9847140344282996,0.9865672096987441,0.9877025242584002,0.9884503410087243,0.9889712064412111,0.9893496522172375,1,2,
phi-4,abliterated/fake_citation,0.8654952076677316,0.9517067428955776,0.9729359340844124,0.9807911057478313,0.9844859164449368,0.9865225340178111,0.987770568122995,0.9885910763782947,0.9891561736515693,0.9895566258289926,1,2,
phi-4,abliterated/none,0.8378594249201278,0.9231713468975955,0.949237710890645,0.9620048994879605,0.9697250137653851,0.974945680306762,0.9787331394639578,0.9816183476921961,0.9838948418420025,0.9857368568384504,1,2,
phi-4,abliterated/persona_switch,0.8960063897763578,0.9645703716159408,0.980477551706743,0.9866104841129322,0.9895824060244579,0.9911872685849185,0.9921065407834565,0.9926549021129579,0.9929933682673572,0.9932090209714123,1,2,6
phi-4,abliterated/role_chaining,0.9078274760383386,0.971700016815201,0.9855389271901799,0.9903784079631517,0.9926375796661357,0.993966062967982,0.994904087412668,0.9956486165756288,0.9962788378793979,0.9968309640685232,1,1,4
phi-4,abliterated/static_baseline,0.8968051118210862,0.9648225996300657,0.982016142592904,0.988833387735454,0.9922680985964253,0.9942788751619699,0.9955895541334073,0.9965106809496961,0.9971922799205958,0.9977150417609768,1,2,5
phi-4,abliterated/system_simulation,0.8825878594249201,0.956599966369598,0.9748108289894065,0.9820611479836596,0.9855731345842524,0.987463278568532,0.9885647566576655,0.9892459815347282,0.9896836459616507,0.989969570089057,1,2,
phi-4,abl-all-rank,0.9078274760383386,0.9715814696485624,0.9859864217252395,0.9911896964856229,0.9925237040734824,0.9937131874001598,0.9945698327750598,0.9947533483760983,0.9952668409776201,0.9959908139283781,1,1,4
phi-4,abl-all-alpha,0.7605431309904153,0.9573162939297124,0.9815335463258786,0.988559984025559,0.9913389796325877,0.9933362546425719,0.9946382607752596,0.9947533483760983,0.9948165127187686,0.994945393442886,1,2,5
phi-4,abl-top3-rank,0.9078274760383386,0.9715814696485624,0.9859864217252395,0.9913361779048259,0.9938946616162064,0.994796150390313,0.9955365307523321,0.9963611812908972,0.9964934314618568,0.9968023376944973,1,1,4
phi-4,base-all-rank,0.697923322683706,0.910335463258786,0.9453059105431311,0.9688831469648562,0.9801492591853035,0.9882952602835464,0.990198905466254,0.9901990001297923,0.9925796546656929,0.9957563616195252,1,2,7
phi-4,base-all-alpha,0.564856230031949,0.7330750798722044,0.8920523162939299,0.892241014376997,0.9568928853833867,0.9826029808306709,0.986380196036342,0.9901990001297923,0.9921076921525559,0.9928859048687197,1,5,8
phi-4,base-top3-rank,0.697923322683706,0.910335463258786,0.9453059105431311,0.9664605683537919,0.9821311364420805,0.9852363434716728,0.9887627483056317,0.9935299908347063,0.9941488391119607,0.9951350240770827,1,2,8
phi-4,mixed-all-rank,0.9078274760383386,0.9715814696485624,0.9859864217252395,0.9911896964856229,0.9925237040734824,0.9937131874001598,0.9945698327750598,0.9959674816473642,0.9971591285938498,0.9971794136120818,1,1,4
phi-4,mixed-top3-rank,0.9078274760383386,0.9715814696485624,0.9859864217252395,0.9913361779048259,0.9938946616162064,0.994796150390313,0.9955365307523321,0.9963611812908972,0.9964934314618568,0.9968023376944973,1,1,4
